tilaya,silvina,dionel << faramor,rowan,granny-dahnie;{faramor} true damage counters {tilaya}
tilaya,brutus,rowan > bryon,natsu,daimon
thador,lyca,phraesto > lorsan,faramor,kafra
kordan,lucca,dionel > zandrok,nazrik,bonnie
baelran,rowan,silvina > ludovic,bryon,kordan
indris,hodgkin,bryon > dunlingr,daimon,nazrik
kordan,ludovic,nazrik < shakir,silvina,lorsan
nazrik,callan,nara > thador,thoran,odie
dionel,ravion,dunlingr > bonnie,bryon,gerda
thador,daimon,perseus >> faramor,baelran,lorsan
natsu,silvina,faramor > tilaya,harak,kordan;{faramor} true damage counters {tilaya}
dunlingr,natsu,lyca > baelran,faramor,talene
thador,arden,nara << phraesto,harak,pang
daimon,brutus,valka << ravion,nara,velara
hugin,baelran,smokey-meerky << silven,lucca,nazrik
indris,phraesto,bonnie >> daimon,harak,kafra
tilaya,bryon,eironn > indris,perseus,hugin
kordan,walker,eironn < phraesto,faramor,shakir
tasi,dunlingr,daimon << kordan,zandrok,gerda
valka,nazrik,kordan << bryon,brutus,ravion
thoran,natsu,silven < cryonaia,dunlingr,valka
faramor,eironn,ulmus > silvina,harak,ravion
harak,silvina,bonnie < valka,kordan,brutus
baelran,lucius,dionel << indris,ravion,kruger;{dionel} does not receive any intox stacks making a weak team
thador,natsu,indris < cryonaia,hugin,brutus;{hugin} shield keeps {cryonaia} alive
thador,odie,pang >> perseus,damian,lucca
perseus,sonja,ludovic < pang,hodgkin,silvina
indris,ravion,eironn >> tasi,sonja,dunlingr
daimon,callan,dionel > indris,kordan,brutus
kordan,natsu,isabella << baelran,faramor,atalanta
nara,kordan,valen >> cryonaia,ludovic,granny-dahnie;{kordan} with 3 melee bursts through 1 tank
hugin,tasi,daimon < cryonaia,rowan,callan;{cryonaia} have trouble burst through {hugin} shield with first ult
indris,gerda,fay = daimon,eironn,parisa
cryonaia,lucca,harak > perseus,pang,ludovic
tasi,silven,thoran << daimon,talene,valka;{daimon} has really good shield
tilaya,rowan,atalanta < cryonaia,thador,velara
daimon,bonnie,kafra > odie,dunlingr,zandrok
ravion,nara,atalanta < harak,valka,brutus
silven,ravion,perseus >> dunlingr,baelran,lucy;{perseus} true damage works well on {baelran}
baelran,ludovic,lucca < odie,vala,igor
cryonaia,callan,dunlingr > berial,bryon,temesia
thador,shakir,lorsan > indris,tasi,igor;{thador} on {shakir} is very strong
cryonaia,ravion,shadewing > kordan,eironn,silvina
tilaya,gerda,natsu > indris,marilee,granny-dahnie
tilaya,odie,rowan > daimon,silven,vala
faramor,callan,natsu < indris,perseus,lyca
cryonaia,dunlingr,ludovic << indris,baelran,shadewing;{shadewing} and {indris} combo can kill {cryonaia} before she ults
hugin,kordan,natsu >> thador,tasi,ravion
indris,kordan,lyca >> zandrok,eironn,soren
silven,daimon,zandrok >> natsu,lorsan,bonnie
baelran,ludovic,silvina << faramor,rowan,eironn
cryonaia,hodgkin,callan << thador,dunlingr,shakir;{dunlingr} can stop {cryonaia} if he can stay alive
kordan,lucy,natsu << daimon,nazrik,ravion
silven,baelran,dunlingr << phraesto,bonnie,scarlita
indris,silvina,zandrok >> hugin,shakir,eironn
silven,daimon,sonja > phraesto,kordan,nara
cryonaia,thoran,marilee < rowan,tasi,berial
tilaya,odie,dionel << daimon,silven,nara
cryonaia,thoran,daimon > rowan,kordan,bonnie
kordan,thador,eironn > hugin,dionel,phraesto
tilaya,thador,viperian > cryonaia,dionel,koko
perseus,eironn,ulmus < hodgkin,daimon,parisa
daimon,phraesto,vala >> nazrik,hugin,lumont;{vala} ult does true damage through shields
tilaya,ravion,eironn > kordan,indris,odie
kordan,antandra,bryon > cryonaia,nara,granny-dahnie
thador,lucy,vala > eironn,bonnie,nara
silvina,silven,shadewing < cryonaia,pang,kordan
perseus,ravion,odie >> faramor,natsu,sonja
hugin,granny-dahnie,bonnie > silven,dunlingr,ludovic
thador,valka,silvina < tilaya,odie,gerda
kordan,bryon,lorsan > thador,natsu,igor
thador,nara,baelran < daimon,harak,phraesto
tilaya,cryonaia,ulmus < faramor,kordan,harak
daimon,cryonaia,silvina > tilaya,dionel,perseus
kordan,bonnie,antandra << thador,brutus,lucy
tilaya,callan,mikola > brutus,odie,antandra
faramor,ulmus,harak << brutus,bonnie,lucy
indris,silvina,velara >> zandrok,dionel,thoran
cryonaia,lumont,kordan >> nara,indris,lucca
tilaya,silven,bryon < daimon,faramor,lumont;{daimon} true damage can break through {tilaya}
zandrok,perseus,nara < kordan,tilaya,brutus
cryonaia,daimon,zandrok << kordan,perseus,dionel;{perseus} can buff {dionel} who then breaks through {cryonaia} before she can ult
thador,baelran,velara > tilaya,cryonaia,damian
bryon,ravion,vala < dunlingr,cryonaia,ludovic
tilaya,phraesto,natsu > thador,daimon,niru
silven,gerda,shakir > baelran,rowan,bryon
cryonaia,hugin,koko << ravion,faramor,pang;{faramor} buff on {ravion}
tilaya,ravion,scarlita >> harak,smokey-meerky,vala
hugin,indris,lucca < phraesto,nazrik,rowan
thador,natsu,ravion < silven,hugin,pang;{silven} behind {hugin} is very strong
tilaya,hewynn,isabella < hugin,dunlingr,marilee
tilaya,hugin,natsu > indris,zandrok,sonja
rowan,brutus,parisa > silven,thador,natsu
igor,silvina,florabelle < pang,natsu,lucius
hugin,thador,temesia > tilaya,cryonaia,nara
hugin,igor,velara > silven,daimon,lorsan
indris,bryon,ulmus < zandrok,rowan,natsu
indris,silvina,niru < hugin,thoran,atalanta
perseus,kordan,kafra > thador,rowan,valka
perseus,natsu,berial < thoran,rhys,kafra
indris,phraesto,nazrik > tilaya,ludovic,natsu
daimon,bryon,viperian > baelran,callan,berial
thador,dunlingr,natsu > silven,hugin,callan;{natsu} is strong if he can burst fast and hit all enemies
dunlingr,nazrik,lorsan < daimon,thador,marilee
harak,brutus,kafra > baelran,rowan,eironn
ravion,berial,atalanta > hugin,odie,kafra
